,filename,num_rows,filesize_MB,central_ra,central_dec
22734,chunk_ra_37.5_dec_33.5_table.h5,57347,7.983570098876953,37.5,33.5
22735,chunk_ra_38.5_dec_31.5_table.h5,57376,7.980877876281738,38.5,31.5
22736,chunk_ra_38.5_dec_32.5_table.h5,56688,7.924654960632324,38.5,32.5
22737,chunk_ra_38.5_dec_33.5_table.h5,54769,7.702117919921875,38.5,33.5
22738,chunk_ra_39.5_dec_31.5_table.h5,54176,7.609932899475098,39.5,31.5
22739,chunk_ra_39.5_dec_32.5_table.h5,58140,8.10734748840332,39.5,32.5
22740,chunk_ra_39.5_dec_33.5_table.h5,55901,7.784281730651855,39.5,33.5
22741,chunk_ra_40.5_dec_31.5_table.h5,55385,7.78054141998291,40.5,31.5
22742,chunk_ra_40.5_dec_32.5_table.h5,59063,8.207310676574707,40.5,32.5
22743,chunk_ra_40.5_dec_33.5_table.h5,57875,8.039277076721191,40.5,33.5
22744,chunk_ra_41.5_dec_31.5_table.h5,53343,7.55540657043457,41.5,31.5
22745,chunk_ra_41.5_dec_32.5_table.h5,54929,7.737378120422363,41.5,32.5
22746,chunk_ra_41.5_dec_33.5_table.h5,52682,7.4556169509887695,41.5,33.5
22747,chunk_ra_42.5_dec_31.5_table.h5,51904,7.357525825500488,42.5,31.5
22748,chunk_ra_42.5_dec_32.5_table.h5,54090,7.620688438415527,42.5,32.5
22749,chunk_ra_42.5_dec_33.5_table.h5,52493,7.385762214660644,42.5,33.5
22750,chunk_ra_43.5_dec_31.5_table.h5,52260,7.390887260437012,43.5,31.5
22751,chunk_ra_43.5_dec_32.5_table.h5,55441,7.7852067947387695,43.5,32.5
22752,chunk_ra_43.5_dec_33.5_table.h5,55489,7.764523506164551,43.5,33.5
22753,chunk_ra_44.5_dec_31.5_table.h5,50917,7.223085403442383,44.5,31.5
22754,chunk_ra_44.5_dec_32.5_table.h5,58128,8.109743118286133,44.5,32.5
22755,chunk_ra_44.5_dec_33.5_table.h5,50937,7.229852676391602,44.5,33.5
22756,chunk_ra_45.5_dec_31.5_table.h5,50694,7.221429824829102,45.5,31.5
22757,chunk_ra_45.5_dec_32.5_table.h5,53176,7.475048065185547,45.5,32.5
22758,chunk_ra_45.5_dec_33.5_table.h5,51479,7.304097175598144,45.5,33.5
22759,chunk_ra_46.5_dec_31.5_table.h5,52744,7.471000671386719,46.5,31.5
22760,chunk_ra_46.5_dec_32.5_table.h5,55895,7.808244705200195,46.5,32.5
22761,chunk_ra_46.5_dec_33.5_table.h5,50574,7.211661338806152,46.5,33.5
22762,chunk_ra_47.5_dec_31.5_table.h5,51822,7.31110954284668,47.5,31.5
22763,chunk_ra_47.5_dec_32.5_table.h5,53785,7.576481819152832,47.5,32.5
22764,chunk_ra_47.5_dec_33.5_table.h5,53802,7.583625793457031,47.5,33.5
22765,chunk_ra_48.5_dec_31.5_table.h5,51311,7.304635047912598,48.5,31.5
22766,chunk_ra_48.5_dec_32.5_table.h5,51318,7.3071136474609375,48.5,32.5
22767,chunk_ra_48.5_dec_33.5_table.h5,53582,7.564260482788086,48.5,33.5
22768,chunk_ra_49.5_dec_31.5_table.h5,52095,7.382650375366211,49.5,31.5
22769,chunk_ra_49.5_dec_32.5_table.h5,55097,7.726411819458008,49.5,32.5
22770,chunk_ra_49.5_dec_33.5_table.h5,53834,7.579828262329102,49.5,33.5
22771,chunk_ra_50.5_dec_31.5_table.h5,50451,7.101428031921387,50.5,31.5
22772,chunk_ra_50.5_dec_32.5_table.h5,55698,7.79647159576416,50.5,32.5
22773,chunk_ra_50.5_dec_33.5_table.h5,54828,7.737185478210449,50.5,33.5
22774,chunk_ra_51.5_dec_31.5_table.h5,42459,6.086677551269531,51.5,31.5
22775,chunk_ra_51.5_dec_32.5_table.h5,50477,7.101539611816406,51.5,32.5
22776,chunk_ra_51.5_dec_33.5_table.h5,53377,7.570195198059082,51.5,33.5
22777,chunk_ra_52.5_dec_31.5_table.h5,41631,5.909879684448242,52.5,31.5
22778,chunk_ra_52.5_dec_32.5_table.h5,50592,7.100651741027832,52.5,32.5
22779,chunk_ra_52.5_dec_33.5_table.h5,53322,7.515583992004394,52.5,33.5
22780,chunk_ra_53.5_dec_31.5_table.h5,41039,5.938676834106445,53.5,31.5
22781,chunk_ra_53.5_dec_32.5_table.h5,51773,7.175174713134766,53.5,32.5
22782,chunk_ra_53.5_dec_33.5_table.h5,48089,6.808571815490723,53.5,33.5
22783,chunk_ra_54.5_dec_31.5_table.h5,38098,5.500235557556152,54.5,31.5
22784,chunk_ra_54.5_dec_32.5_table.h5,46180,6.476218223571777,54.5,32.5
22785,chunk_ra_54.5_dec_33.5_table.h5,53234,7.387491226196289,54.5,33.5
22786,chunk_ra_55.5_dec_31.5_table.h5,33678,4.989673614501953,55.5,31.5
22787,chunk_ra_55.5_dec_32.5_table.h5,46990,6.54047966003418,55.5,32.5
22788,chunk_ra_55.5_dec_33.5_table.h5,53459,7.42243766784668,55.5,33.5
22789,chunk_ra_56.5_dec_31.5_table.h5,45314,6.395490646362305,56.5,31.5
22790,chunk_ra_56.5_dec_32.5_table.h5,57026,7.722499847412109,56.5,32.5
22791,chunk_ra_56.5_dec_33.5_table.h5,52495,7.249248504638672,56.5,33.5
22792,chunk_ra_57.5_dec_31.5_table.h5,54160,7.568918228149414,57.5,31.5
22793,chunk_ra_57.5_dec_32.5_table.h5,58769,8.116837501525879,57.5,32.5
22794,chunk_ra_57.5_dec_33.5_table.h5,58343,8.031279563903809,57.5,33.5
22795,chunk_ra_58.5_dec_31.5_table.h5,59583,8.238469123840332,58.5,31.5
22796,chunk_ra_58.5_dec_32.5_table.h5,62071,8.553335189819336,58.5,32.5
